Respondent,Age,Country,EdLevel,YearsCodePro
4,22.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
9,23.0,New Zealand,Some college/university study without earning a degree,4.0
13,28.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8.0
16,26.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
17,29.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
19,31.0,Brazil,Some college/university study without earning a degree,13.0
20,38.0,Lithuania,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
22,47.0,United States,Some college/university study without earning a degree,18.0
23,22.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
24,23.0,Israel,Primary/elementary school,1.0
25,22.0,South Africa,Associate degree,1.0
26,34.0,United States,Some college/university study without earning a degree,8.0
29,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
32,21.0,United States,Associate degree,2.0
38,44.0,Czech Republic,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",22.0
39,42.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",23.0
43,27.0,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
44,43.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",19.0
49,34.0,Serbia,Some college/university study without earning a degree,8.0
50,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
53,18.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3.0
54,37.0,Sweden,,10.0
56,33.0,China,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
57,31.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",0.5
60,27.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9.0
61,34.0,United States,Some college/university study without earning a degree,8.0
62,19.0,Netherlands,Associate degree,1.0
67,24.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
68,29.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
